,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
23,0.0018909454345703125,0.0008287612517398353,0.0011983871459960937,0.0009789186349148978,0.001,1000.0,rbf,"{'C': 0.001, 'gamma': 1000.0, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
24,0.001313161849975586,0.0004368038125602849,0.0007906675338745118,0.0005967351944331993,0.001,1000.0,sigmoid,"{'C': 0.001, 'gamma': 1000.0, 'kernel': 'sigmoid'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
25,0.0020987749099731444,0.0011347447173693864,0.0009996891021728516,0.0011827474197173646,0.03162277660168379,0.001,linear,"{'C': 0.03162277660168379, 'gamma': 0.001, 'kernel': 'linear'}",0.875,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8214285714285714,0.10133043542222218,2
26,0.0033969879150390625,0.0020089340808916137,0.0013993024826049806,0.0007997339790747189,0.03162277660168379,0.001,rbf,"{'C': 0.03162277660168379, 'gamma': 0.001, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
27,0.002898240089416504,0.0016994633405306742,0.0022990942001342774,0.0029670201014320692,0.03162277660168379,0.001,poly,"{'C': 0.03162277660168379, 'gamma': 0.001, 'kernel': 'poly'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
28,0.004398250579833984,0.0043150949165128875,0.0011991024017333984,0.0003993127747530863,0.03162277660168379,0.001,rbf,"{'C': 0.03162277660168379, 'gamma': 0.001, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
29,0.0024990081787109376,0.000670631924876477,0.0026983022689819336,0.004794345010680655,0.03162277660168379,0.001,sigmoid,"{'C': 0.03162277660168379, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
30,0.00559685230255127,0.005459746984748109,0.002398562431335449,0.0021527721085345796,0.03162277660168379,0.03162277660168379,linear,"{'C': 0.03162277660168379, 'gamma': 0.03162277660168379, 'kernel': 'linear'}",0.875,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8214285714285714,0.10133043542222218,2
31,0.0052969932556152345,0.00604750973385049,0.0021988630294799806,0.0014684875966760522,0.03162277660168379,0.03162277660168379,rbf,"{'C': 0.03162277660168379, 'gamma': 0.03162277660168379, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
32,0.00519709587097168,0.007980687487894187,0.0031975507736206055,0.0026361789783356806,0.03162277660168379,0.03162277660168379,poly,"{'C': 0.03162277660168379, 'gamma': 0.03162277660168379, 'kernel': 'poly'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
33,0.0051972389221191405,0.00589264069052514,0.0029983282089233398,0.003461944203819351,0.03162277660168379,0.03162277660168379,rbf,"{'C': 0.03162277660168379, 'gamma': 0.03162277660168379, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
34,0.003197503089904785,0.001399609860985882,0.001699376106262207,0.0011868205497006412,0.03162277660168379,0.03162277660168379,sigmoid,"{'C': 0.03162277660168379, 'gamma': 0.03162277660168379, 'kernel': 'sigmoid'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
35,0.0018990755081176758,0.0006996336070789578,0.0007988929748535157,0.000399446942803992,0.03162277660168379,1.0,linear,"{'C': 0.03162277660168379, 'gamma': 1.0, 'kernel': 'linear'}",0.875,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8214285714285714,0.10133043542222218,2
36,0.0018991708755493164,0.0005385706204630244,0.000599527359008789,0.0006630543896608113,0.03162277660168379,1.0,rbf,"{'C': 0.03162277660168379, 'gamma': 1.0, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
37,0.001798558235168457,0.0005994489263399019,0.0008991718292236328,0.0005381146753223368,0.03162277660168379,1.0,poly,"{'C': 0.03162277660168379, 'gamma': 1.0, 'kernel': 'poly'}",0.5,0.625,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6267857142857143,0.09988833050676428,103
38,0.0022992849349975585,0.0010993342131401585,0.0014981746673583985,0.0012016172342189978,0.03162277660168379,1.0,rbf,"{'C': 0.03162277660168379, 'gamma': 1.0, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
39,0.001798701286315918,0.0005995279018170876,0.000699925422668457,0.0004582096829054025,0.03162277660168379,1.0,sigmoid,"{'C': 0.03162277660168379, 'gamma': 1.0, 'kernel': 'sigmoid'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.6821428571428572,0.0817537367304257,32
40,0.002598428726196289,0.0016246589310915027,0.0005992174148559571,0.0004892604972939226,0.03162277660168379,31.622776601683793,linear,"{'C': 0.03162277660168379, 'gamma': 31.622776601683793, 'kernel': 'linear'}",0.875,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8214285714285714,0.10133043542222218,2
41,0.001998448371887207,0.0004471823315481916,0.000699615478515625,0.0008997706563432498,0.03162277660168379,31.622776601683793,rbf,"{'C': 0.03162277660168379, 'gamma': 31.622776601683793, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
42,0.0016999006271362304,0.0010039755435077027,0.0006988286972045898,0.00045749286809827945,0.03162277660168379,31.622776601683793,poly,"{'C': 0.03162277660168379, 'gamma': 31.622776601683793, 'kernel': 'poly'}",0.5,0.625,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6267857142857143,0.09988833050676428,103
43,0.0021423578262329103,0.0015622682553876385,0.0006564855575561523,0.0004478914223924948,0.03162277660168379,31.622776601683793,rbf,"{'C': 0.03162277660168379, 'gamma': 31.622776601683793, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
44,0.0016831636428833007,0.0009029529181860184,0.0006086587905883789,0.0004976276266888767,0.03162277660168379,31.622776601683793,sigmoid,"{'C': 0.03162277660168379, 'gamma': 31.622776601683793, 'kernel': 'sigmoid'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
45,0.0015089273452758788,0.0009171324647111787,0.000989985466003418,0.0004265783998008211,0.03162277660168379,1000.0,linear,"{'C': 0.03162277660168379, 'gamma': 1000.0, 'kernel': 'linear'}",0.875,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8214285714285714,0.10133043542222218,2
