,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
14,0.0006998300552368164,0.0006400246023450096,0.0012974023818969726,0.0004540162133109276,auto,8,1,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 1}",1.0,0.75,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8178571428571428,0.10885536181520122,25
15,0.0006023645401000977,0.0004918344634884546,0.0011968612670898438,0.0003955028501292396,auto,8,2,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 2}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,65
16,0.00050048828125,0.0005004920019834313,0.0011995077133178712,0.0005923471327850169,auto,9,1,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1}",1.0,0.75,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8464285714285713,0.09589801130069679,5
17,0.0007995843887329101,0.0007482459726077832,0.0010996580123901368,0.00029531928910221135,auto,9,2,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,65
18,0.0003996610641479492,0.000662673081858045,0.0010991334915161134,0.0002997640966844701,auto,10,1,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1}",1.0,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.8482142857142858,0.12455277137479863,1
19,0.0007037878036499024,0.0004607832732659164,0.0012983083724975586,0.0004620029216401038,auto,10,2,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 2}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,65
20,0.0007978200912475586,0.0003989764071141197,0.0010996818542480468,0.0003006141987800191,ball_tree,1,1,"{'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 1}",0.75,0.625,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7803571428571429,0.1041394522273095,37
21,0.0007985591888427735,0.0005979879345191274,0.0015002727508544923,0.0006698200165462508,ball_tree,1,2,"{'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 2}",0.75,0.75,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7499999999999999,0.10594569267279517,53
22,0.0007995843887329101,0.0003998998608306224,0.0013015270233154297,0.0004612515732050081,ball_tree,2,1,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 1}",0.875,0.5,0.7142857142857143,0.5714285714285714,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.7375,0.15153340373983418,57
23,0.0006992340087890625,0.00045775656644949205,0.001199793815612793,0.00040494554554152236,ball_tree,2,2,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 2}",0.75,0.625,0.7142857142857143,0.5714285714285714,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7375,0.1292763414124162,57
